Column1,Column2,列1
0.8921496,内容ちゃんと見る前はラーメンとカップめしならラーメンがいいかなって思ってたけどこのカップめしめちゃくちゃ美味しそうやな発売日に買いに行こう笑,
0.8920553,hikakinさんのお陰で夢って叶うんだなーって本気で思った何かが好きなだけでこんなに頑張れるんだねまじで勇気というか希望というか貰った気がするやっぱりyoutuberの中で0番尊敬してるし0番大好きだなー•ᴗ•,
0.8918929,g明けに発売してくれるから連休明けのショックを和らげてくれているね,
0.89181775,おめでとうございますとても美味しそうでアメリカでも買えたら嬉しい大ヒット商品になって海外進出もできますように,
0.8917786,味噌ラーメンあまり好きじゃないが見かけたら0食食べてみます,
0.8917411,夢を実現させることが出来るのは努力し続けたからなんよなぁマジで尊敬する,
0.89161086,うわあすごく感動してなんかうるうるしましたこんなに頑張ってる人がいるから私も頑張らなきゃなって思います,
0.89150035,夢を叶えるって素晴らしいなーなんかヒカキンさん見てると明るい気持ちになる,
0.8913932,すごい興味あるラーメン0年間とは凄いですねでもほんとに何もしない期間を作って欲しいです,
0.8913447,いつもはhikakin面白いなぁ〜って感じで見てたけど今回のhikakinはカッコイイやっぱり夢を実現できる人はカッコイイです,
0.8912951,疲れてるからとかじゃなくて報告準備に集中するために休むといういつも視聴者思いのヒカキンさんならどんな報告でも応援できます,
0.89124227,お疲れさまですヒカ様の努力と笑顔が多くの人々の心に自然と入って来るのがヒカ様おめでとう御座います喜んで買わせて頂き応援していきたいと思いますヒカ様の声が笑顔が私達の元気の素です本当にありがとう,
0.89117795,夢を叶えるって本当にすごいことだよね自分がずっとやりたかったことをできたヒカキンを心から尊敬するわ,
0.89116335,何事にも本気でどんな時も頑張ってきたからできたことだと思う本当に心から尊敬します,
0.89106816,ヒカキンの熱意というか思いが分かるまず真っ先に自分で思う通りにするヒカキンが凄くて羨ましい,
0.8909471,夢を見るのは簡単だけど夢を叶えるのは難しいでもそれを叶えたhikakinさんは凄すぎる,
0.89077,カッコよすぎる絶対に買います味噌ラーメン好きなので早く食べたいです,
0.89074606,ヒカキンさんって本当にいい人だなぁ,
0.8906909,これは素直に食べたいそう思える熱量でした,
0.8906847,ヒカキンさんの努力は本当にすごいこれからも頑張ってください,
0.89051616,買いに行くね美味しそうもし叶うならヒカキンさんが着ているtシャツプレゼントキャンペーンしてくれますか,
0.8903878,hikakinさん醤油味も作ってくださいお願いします,
0.8903667,このラーメン食べるために一日頑張れる日が自分にもあるんだろうなと思うと嬉しいどうにか生きてる自分でもギリカップ麺に出せる値段で嬉しい,
0.8903591,夢はいくらでもあるけどそれを叶えれたっていうのが本当に凄いことだと心から思う,
0.8903527,マジですげぇわ休んでも休まなくて準備して一刻でも早くみんなに知らせれるよう努力してるとことか本当に美味しそうなのが伝わってるくる,
0.88999116,単純に小麦アレルギーで麺が食べられないからカップ飯あるの嬉しい,
0.88987815,他のラーメンより美味いとかそういう言葉使わないのがやっぱりhikakinって感じがして大好き,
0.8898553,こんなに成功してもちゃんと辿ってきたことを忘れてないところがとても好きです,
0.8897936,このラーメン好きアピールがしたいから何ヵ月前からラーメン旅とか始めたのかな,
0.8897351,ラーメンはもちろん食べますtシャツも買いたかったのにサイズがもう残ってないみたいです,
0.8897334,こうやってがんばってるヒカキン見てると自分も諦めないでがんばるぞって思う,
